AISC_Manual_Label,W,A,d,bf,tw,tf,Ix,Zx,Sx,rx,Iy,Zy,Sy,ry
W18X283,283,83.3,21.9,11.9,1.40,2.50,6170,676,565,8.61,704,185,118,2.91
W18X258,258,76.0,21.5,11.8,1.28,2.30,5510,611,514,8.53,628,166,107,2.88
W18X234,234,68.6,21.1,11.7,1.16,2.11,4900,549,466,8.44,558,149,95.8,2.85
W18X211,211,62.3,20.7,11.6,1.06,1.91,4330,490,419,8.35,493,132,85.3,2.82
W18X192,192,56.2,20.4,11.5,0.960,1.75,3870,442,380,8.28,440,119,76.8,2.79
W18X175,175,51.4,20.0,11.4,0.890,1.59,3450,398,344,8.20,391,106,68.8,2.76
W18X158,158,46.3,19.7,11.3,0.810,1.44,3060,356,310,8.12,347,94.8,61.4,2.74
W18X143,143,42.0,19.5,11.2,0.730,1.32,2750,322,282,8.09,311,85.4,55.5,2.72
W18X130,130,38.3,19.3,11.2,0.670,1.20,2460,290,256,8.03,278,76.7,49.9,2.70
W18X119,119,35.1,19.0,11.3,0.655,1.06,2190,262,231,7.90,253,69.1,44.9,2.69
W18X106,106,31.1,18.7,11.2,0.590,0.940,1910,230,204,7.84,220,60.5,39.4,2.66
W18X97,97.0,28.5,18.6,11.1,0.535,0.870,1750,211,188,7.82,201,55.3,36.1,2.65
W18X86,86.0,25.3,18.4,11.1,0.480,0.770,1530,186,166,7.77,175,48.4,31.6,2.63
W18X76,76.0,22.3,18.2,11.0,0.425,0.680,1330,163,146,7.73,152,42.2,27.6,2.61
W18X71,71.0,20.9,18.5,7.64,0.495,0.810,1170,146,127,7.50,60.3,24.7,15.8,1.70
W18X65,65.0,19.1,18.4,7.59,0.450,0.750,1070,133,117,7.49,54.8,22.5,14.4,1.69
W18X60,60.0,17.6,18.2,7.56,0.415,0.695,984,123,108,7.47,50.1,20.6,13.3,1.68
W18X55,55.0,16.2,18.1,7.53,0.390,0.630,890,112,98.3,7.41,44.9,18.5,11.9,1.67
W18X50,50.0,14.7,18.0,7.50,0.355,0.570,800,101,88.9,7.38,40.1,16.6,10.7,1.65
W18X46,46.0,13.5,18.1,6.06,0.360,0.605,712,90.7,78.8,7.25,22.5,11.7,7.43,1.29
W18X40,40.0,11.8,17.9,6.02,0.315,0.525,612,78.4,68.4,7.21,19.1,10.0,6.35,1.27
W18X35,35.0,10.3,17.7,6.00,0.300,0.425,510,66.5,57.6,7.04,15.3,8.06,5.12,1.22
W16X100,100,29.4,17.0,10.4,0.585,0.985,1490,198,175,7.10,186,54.9,35.7,2.51
W16X89,89.0,26.2,16.8,10.4,0.525,0.875,1300,175,155,7.05,163,48.1,31.4,2.49
W16X77,77.0,22.6,16.5,10.3,0.455,0.760,1110,150,134,7.00,138,41.1,26.9,2.47
W16X67,67.0,19.6,16.3,10.2,0.395,0.665,954,130,117,6.96,119,35.5,23.2,2.46
W16X57,57.0,16.8,16.4,7.12,0.430,0.715,758,105,92.2,6.72,43.1,18.9,12.1,1.60
W16X50,50.0,14.7,16.3,7.07,0.380,0.630,659,92.0,81.0,6.68,37.2,16.3,10.5,1.59
W16X45,45.0,13.3,16.1,7.04,0.345,0.565,586,82.3,72.7,6.65,32.8,14.5,9.34,1.57
W16X40,40.0,11.8,16.0,7.00,0.305,0.505,518,73.0,64.7,6.63,28.9,12.7,8.25,1.57
W16X36,36.0,10.6,15.9,6.99,0.295,0.430,448,64.0,56.5,6.51,24.5,10.8,7.00,1.52
W16X31,31.0,9.13,15.9,5.53,0.275,0.440,375,54.0,47.2,6.41,12.4,7.03,4.49,1.17
W16X26,26.0,7.68,15.7,5.50,0.250,0.345,301,44.2,38.4,6.26,9.59,5.48,3.49,1.12
W14X873,873,257,23.6,18.8,3.94,5.51,18100,2030,1530,8.39,6170,1020,656,4.90
W14X808,808,238,22.8,18.6,3.74,5.12,15900,1830,1390,8.17,5550,930,597,4.83
W14X730,730,215,22.4,17.9,3.07,4.91,14300,1660,1280,8.17,4720,816,527,4.69
W14X665,665,196,21.6,17.7,2.83,4.52,12400,1480,1150,7.98,4170,730,472,4.62
W14X605,605,178,20.9,17.4,2.60,4.16,10800,1320,1040,7.80,3680,652,423,4.55
W14X550,550,162,20.2,17.2,2.38,3.82,9430,1180,931,7.63,3250,583,378,4.49
W14X500,500,147,19.6,17.0,2.19,3.50,8210,1050,838,7.48,2880,522,339,4.43
W14X455,455,134,19.0,16.8,2.02,3.21,7190,936,756,7.33,2560,468,304,4.38
W14X426,426,125,18.7,16.7,1.88,3.04,6600,869,706,7.26,2360,434,283,4.34
W14X398,398,117,18.3,16.6,1.77,2.85,6000,801,656,7.16,2170,402,262,4.31
W14X370,370,109,17.9,16.5,1.66,2.66,5440,736,607,7.07,1990,370,241,4.27
W14X342,342,101,17.5,16.4,1.54,2.47,4900,672,558,6.98,1810,338,221,4.24
W14X311,311,91.4,17.1,16.2,1.41,2.26,4330,603,506,6.88,1610,304,199,4.20
W14X283,283,83.3,16.7,16.1,1.29,2.07,3840,542,459,6.79,1440,274,179,4.17
W14X257,257,75.6,16.4,16.0,1.18,1.89,3400,487,415,6.71,1290,246,161,4.13
W14X233,233,68.5,16.0,15.9,1.07,1.72,3010,436,375,6.63,1150,221,145,4.10
W14X211,211,62.0,15.7,15.8,0.980,1.56,2660,390,338,6.55,1030,198,130,4.07
W14X193,193,56.8,15.5,15.7,0.890,1.44,2400,355,310,6.50,931,180,119,4.05
W14X176,176,51.8,15.2,15.7,0.830,1.31,2140,320,281,6.43,838,163,107,4.02
W14X159,159,46.7,15.0,15.6,0.745,1.19,1900,287,254,6.38,748,146,96.2,4.00
W14X145,145,42.7,14.8,15.5,0.680,1.09,1710,260,232,6.33,677,133,87.3,3.98
W14X132,132,38.8,14.7,14.7,0.645,1.03,1530,234,209,6.28,548,113,74.5,3.76
W14X120,120,35.3,14.5,14.7,0.590,0.940,1380,212,190,6.24,495,102,67.5,3.74
W14X109,109,32.0,14.3,14.6,0.525,0.860,1240,192,173,6.22,447,92.7,61.2,3.73
W14X99,99.0,29.1,14.2,14.6,0.485,0.780,1110,173,157,6.17,402,83.6,55.2,3.71
W14X90,90.0,26.5,14.0,14.5,0.440,0.710,999,157,143,6.14,362,75.6,49.9,3.70
W14X82,82.0,24.0,14.3,10.1,0.510,0.855,881,139,123,6.05,148,44.8,29.3,2.48
W14X74,74.0,21.8,14.2,10.1,0.450,0.785,795,126,112,6.04,134,40.5,26.6,2.48
W14X68,68.0,20.0,14.0,10.0,0.415,0.720,722,115,103,6.01,121,36.9,24.2,2.46
W14X61,61.0,17.9,13.9,10.0,0.375,0.645,640,102,92.1,5.98,107,32.8,21.5,2.45
W14X53,53.0,15.6,13.9,8.06,0.370,0.660,541,87.1,77.8,5.89,57.7,22.0,14.3,1.92
W14X48,48.0,14.1,13.8,8.03,0.340,0.595,484,78.4,70.2,5.85,51.4,19.6,12.8,1.91
W14X43,43.0,12.6,13.7,8.00,0.305,0.530,428,69.6,62.6,5.82,45.2,17.3,11.3,1.89
W14X38,38.0,11.2,14.1,6.77,0.310,0.515,385,61.5,54.6,5.87,26.7,12.1,7.88,1.55
W14X34,34.0,10.0,14.0,6.75,0.285,0.455,340,54.6,48.6,5.83,23.3,10.6,6.91,1.53
W14X30,30.0,8.85,13.8,6.73,0.270,0.385,291,47.3,42.0,5.73,19.6,8.99,5.82,1.49
W14X26,26.0,7.69,13.9,5.03,0.255,0.420,245,40.2,35.3,5.65,8.91,5.54,3.55,1.08
W14X22,22.0,6.49,13.7,5.00,0.230,0.335,199,33.2,29.0,5.54,7.00,4.39,2.80,1.04
W12X336,336,98.9,16.8,13.4,1.78,2.96,4060,603,483,6.41,1190,274,177,3.47
W12X305,305,89.5,16.3,13.2,1.63,2.71,3550,537,435,6.29,1050,244,159,3.42
W12X279,279,81.9,15.9,13.1,1.53,2.47,3110,481,393,6.16,937,220,143,3.38
W12X252,252,74.1,15.4,13.0,1.40,2.25,2720,428,353,6.06,828,196,127,3.34
W12X230,230,67.7,15.1,12.9,1.29,2.07,2420,386,321,5.97,742,177,115,3.31
W12X210,210,61.8,14.7,12.8,1.18,1.90,2140,348,292,5.89,664,159,104,3.28
W12X190,190,56.0,14.4,12.7,1.06,1.74,1890,311,263,5.82,589,143,93.0,3.25
W12X170,170,50.0,14.0,12.6,0.960,1.56,1650,275,235,5.74,517,126,82.3,3.22
W12X152,152,44.7,13.7,12.5,0.870,1.40,1430,243,209,5.66,454,111,72.8,3.19
W12X136,136,39.9,13.4,12.4,0.790,1.25,1240,214,186,5.58,398,98.0,64.2,3.16
W12X120,120,35.2,13.1,12.3,0.710,1.11,1070,186,163,5.51,345,85.4,56.0,3.13
W12X106,106,31.2,12.9,12.2,0.610,0.990,933,164,145,5.47,301,75.1,49.3,3.11
W12X96,96.0,28.2,12.7,12.2,0.550,0.900,833,147,131,5.44,270,67.5,44.4,3.09
W12X87,87.0,25.6,12.5,12.1,0.515,0.810,740,132,118,5.38,241,60.4,39.7,3.07
W12X79,79.0,23.2,12.4,12.1,0.470,0.735,662,119,107,5.34,216,54.3,35.8,3.05
W12X72,72.0,21.1,12.3,12.0,0.430,0.670,597,108,97.4,5.31,195,49.2,32.4,3.04
W12X65,65.0,19.1,12.1,12.0,0.390,0.605,533,96.8,87.9,5.28,174,44.1,29.1,3.02
W12X58,58.0,17.0,12.2,10.0,0.360,0.640,475,86.4,78.0,5.28,107,32.5,21.4,2.51
W12X53,53.0,15.6,12.1,10.0,0.345,0.575,425,77.9,70.6,5.23,95.8,29.1,19.2,2.48
W12X50,50.0,14.6,12.2,8.08,0.370,0.640,391,71.9,64.2,5.18,56.3,21.3,13.9,1.96
W12X45,45.0,13.1,12.1,8.05,0.335,0.575,348,64.2,57.7,5.15,50.0,19.0,12.4,1.95
W12X40,40.0,11.7,11.9,8.01,0.295,0.515,307,57.0,51.5,5.13,44.1,16.8,11.0,1.94
W12X35,35.0,10.3,12.5,6.56,0.300,0.520,285,51.2,45.6,5.25,24.5,11.5,7.47,1.54
W12X30,30.0,8.79,12.3,6.52,0.260,0.440,238,43.1,38.6,5.21,20.3,9.56,6.24,1.52
W12X26,26.0,7.65,12.2,6.49,0.230,0.380,204,37.2,33.4,5.17,17.3,8.17,5.34,1.51
W12X22,22.0,6.48,12.3,4.03,0.260,0.425,156,29.3,25.4,4.91,4.66,3.66,2.31,0.848
W12X19,19.0,5.57,12.2,4.01,0.235,0.350,130,24.7,21.3,4.82,3.76,2.98,1.88,0.822
W12X16,16.0,4.71,12.0,3.99,0.220,0.265,103,20.1,17.1,4.67,2.82,2.26,1.41,0.773
W12X14,14.0,4.16,11.9,3.97,0.200,0.225,88.6,17.4,14.9,4.62,2.36,1.90,1.19,0.753
W10X112,112,32.9,11.4,10.4,0.755,1.25,716,147,126,4.66,236,69.2,45.3,2.68
W10X100,100,29.3,11.1,10.3,0.680,1.12,623,130,112,4.60,207,61.0,40.0,2.65
W10X88,88.0,26.0,10.8,10.3,0.605,0.990,534,113,98.5,4.54,179,53.1,34.8,2.63
W10X77,77.0,22.7,10.6,10.2,0.530,0.870,455,97.6,85.9,4.49,154,45.9,30.1,2.60
W10X68,68.0,19.9,10.4,10.1,0.470,0.770,394,85.3,75.7,4.44,134,40.1,26.4,2.59
W10X60,60.0,17.7,10.2,10.1,0.420,0.680,341,74.6,66.7,4.39,116,35.0,23.0,2.57
W10X54,54.0,15.8,10.1,10.0,0.370,0.615,303,66.6,60.0,4.37,103,31.3,20.6,2.56
W10X49,49.0,14.4,10.0,10.0,0.340,0.560,272,60.4,54.6,4.35,93.4,28.3,18.7,2.54
W10X45,45.0,13.3,10.1,8.02,0.350,0.620,248,54.9,49.1,4.32,53.4,20.3,13.3,2.01
W10X39,39.0,11.5,9.92,7.99,0.315,0.530,209,46.8,42.1,4.27,45.0,17.2,11.3,1.98
W10X33,33.0,9.71,9.73,7.96,0.290,0.435,171,38.8,35.0,4.19,36.6,14.0,9.20,1.94
W10X30,30.0,8.84,10.5,5.81,0.300,0.510,170,36.6,32.4,4.38,16.7,8.84,5.75,1.37
W10X26,26.0,7.61,10.3,5.77,0.260,0.440,144,31.3,27.9,4.35,14.1,7.50,4.89,1.36
W10X22,22.0,6.49,10.2,5.75,0.240,0.360,118,26.0,23.2,4.27,11.4,6.10,3.97,1.33
W10X19,19.0,5.62,10.2,4.02,0.250,0.395,96.3,21.6,18.8,4.14,4.29,3.35,2.14,0.874
W10X17,17.0,4.99,10.1,4.01,0.240,0.330,81.9,18.7,16.2,4.05,3.56,2.80,1.78,0.845
W10X15,15.0,4.41,9.99,4.00,0.230,0.270,68.9,16.0,13.8,3.95,2.89,2.30,1.45,0.810
W10X12,12.0,3.54,9.87,3.96,0.190,0.210,53.8,12.6,10.9,3.90,2.18,1.74,1.10,0.785
W8X67,67.0,19.7,9.00,8.28,0.570,0.935,272,70.1,60.4,3.72,88.6,32.7,21.4,2.12
W8X58,58.0,17.1,8.75,8.22,0.510,0.810,228,59.8,52.0,3.65,75.1,27.9,18.3,2.10
W8X48,48.0,14.1,8.50,8.11,0.400,0.685,184,49.0,43.2,3.61,60.9,22.9,15.0,2.08
W8X40,40.0,11.7,8.25,8.07,0.360,0.560,146,39.8,35.5,3.53,49.1,18.5,12.2,2.04
W8X35,35.0,10.3,8.12,8.02,0.310,0.495,127,34.7,31.2,3.51,42.6,16.1,10.6,2.03
W8X31,31.0,9.13,8.00,8.00,0.285,0.435,110,30.4,27.5,3.47,37.1,14.1,9.27,2.02
W8X28,28.0,8.25,8.06,6.54,0.285,0.465,98.0,27.2,24.3,3.45,21.7,10.1,6.63,1.62
W8X24,24.0,7.08,7.93,6.50,0.245,0.400,82.7,23.1,20.9,3.42,18.3,8.57,5.63,1.61
W8X21,21.0,6.16,8.28,5.27,0.250,0.400,75.3,20.4,18.2,3.49,9.77,5.69,3.71,1.26
W8X18,18.0,5.26,8.14,5.25,0.230,0.330,61.9,17.0,15.2,3.43,7.97,4.66,3.04,1.23
W8X15,15.0,4.44,8.11,4.02,0.245,0.315,48.0,13.6,11.8,3.29,3.41,2.67,1.70,0.876
W8X13,13.0,3.84,7.99,4.00,0.230,0.255,39.6,11.4,9.91,3.21,2.73,2.15,1.37,0.843
W8X10,10.0,2.96,7.89,3.94,0.170,0.205,30.8,8.87,7.81,3.22,2.09,1.66,1.06,0.841
W6X25,25.0,7.34,6.38,6.08,0.320,0.455,53.4,18.9,16.7,2.70,17.1,8.56,5.61,1.52
W6X20,20.0,5.87,6.20,6.02,0.260,0.365,41.4,14.9,13.4,2.66,13.3,6.72,4.41,1.50
W6X15,15.0,4.43,5.99,5.99,0.230,0.260,29.1,10.8,9.72,2.56,9.32,4.75,3.11,1.45
W6X16,16.0,4.74,6.28,4.03,0.260,0.405,32.1,11.7,10.2,2.60,4.43,3.39,2.20,0.967
W6X12,12.0,3.55,6.03,4.00,0.230,0.280,22.1,8.30,7.31,2.49,2.99,2.32,1.50,0.918
W6X9,9.00,2.68,5.90,3.94,0.170,0.215,16.4,6.23,5.56,2.47,2.20,1.72,1.11,0.905
W6X8.5,8.50,2.52,5.83,3.94,0.170,0.195,14.9,5.73,5.10,2.43,1.99,1.56,1.01,0.890
W5X19,19.0,5.56,5.15,5.03,0.270,0.430,26.3,11.6,10.2,2.17,9.13,5.53,3.63,1.28
W5X16,16.0,4.71,5.01,5.00,0.240,0.360,21.4,9.63,8.55,2.13,7.51,4.58,3.00,1.26
W4X13,13.0,3.83,4.16,4.06,0.280,0.345,11.3,6.28,5.46,1.72,3.86,2.92,1.90,1.00
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
